,usageDateId,meteringPointTypeCode,productionGroup,installedCapacity
325,2021-01-01,E18,hydro,221501.0
326,2021-01-01,E19,solar,411.0
327,2021-01-01,E18,thermal,4300.0
328,2021-01-01,E18,wind,3750.0
1179,2021-01-02,E18,thermal,4300.0
1180,2021-01-02,E18,hydro,221501.0
1181,2021-01-02,E19,solar,411.0
1182,2021-01-02,E18,wind,3750.0
1667,2021-01-03,E18,thermal,4300.0
1668,2021-01-03,E19,solar,411.0
1669,2021-01-03,E18,hydro,221501.0
1670,2021-01-03,E18,wind,3750.0
2213,2021-01-04,E19,solar,411.0
2214,2021-01-04,E18,hydro,221501.0
2215,2021-01-04,E18,thermal,4300.0
2216,2021-01-04,E18,wind,3750.0
2992,2021-01-05,E19,solar,411.0
2993,2021-01-05,E18,thermal,4300.0
2994,2021-01-05,E18,wind,3750.0
2995,2021-01-05,E18,hydro,221501.0
3854,2021-01-06,E19,solar,411.0
3855,2021-01-06,E18,thermal,4300.0
3856,2021-01-06,E18,wind,3750.0
3857,2021-01-06,E18,hydro,221501.0
4229,2021-01-07,E18,wind,3750.0
4230,2021-01-07,E18,thermal,4300.0
4231,2021-01-07,E19,solar,411.0
4232,2021-01-07,E18,hydro,221501.0
4976,2021-01-08,E18,thermal,4300.0
4977,2021-01-08,E18,hydro,221501.0
4978,2021-01-08,E18,wind,3750.0
4979,2021-01-08,E19,solar,411.0
5983,2021-01-09,E18,thermal,4300.0
5984,2021-01-09,E18,hydro,221501.0
5985,2021-01-09,E18,wind,3750.0
5986,2021-01-09,E19,solar,411.0
6321,2021-01-10,E18,wind,3750.0
6322,2021-01-10,E18,hydro,221501.0
6323,2021-01-10,E18,thermal,4300.0
6324,2021-01-10,E19,solar,411.0
7124,2021-01-11,E18,hydro,221501.0
7125,2021-01-11,E18,wind,3750.0
7126,2021-01-11,E18,thermal,4300.0
7127,2021-01-11,E19,solar,411.0
8202,2021-01-12,E18,hydro,221501.0
8203,2021-01-12,E18,thermal,4300.0
8204,2021-01-12,E19,solar,411.0
8205,2021-01-12,E18,wind,3750.0
8533,2021-01-13,E18,thermal,4300.0
8534,2021-01-13,E19,solar,411.0
8535,2021-01-13,E18,hydro,221501.0
8536,2021-01-13,E18,wind,3750.0
9189,2021-01-14,E18,hydro,221501.0
9190,2021-01-14,E19,solar,411.0
9191,2021-01-14,E18,wind,3750.0
9192,2021-01-14,E18,thermal,4300.0
10072,2021-01-15,E19,solar,411.0
10073,2021-01-15,E18,hydro,221501.0
10074,2021-01-15,E18,wind,3750.0
10075,2021-01-15,E18,thermal,4300.0
10595,2021-01-16,E19,solar,411.0
10596,2021-01-16,E18,hydro,221501.0
10597,2021-01-16,E18,wind,3750.0
10598,2021-01-16,E18,thermal,4300.0
11432,2021-01-17,E18,thermal,4300.0
11433,2021-01-17,E18,wind,3750.0
11434,2021-01-17,E19,solar,411.0
11435,2021-01-17,E18,hydro,221501.0
12179,2021-01-18,E19,solar,411.0
12180,2021-01-18,E18,wind,3750.0
12181,2021-01-18,E18,hydro,221501.0
12182,2021-01-18,E18,thermal,4300.0
12952,2021-01-19,E18,thermal,4300.0
12953,2021-01-19,E18,wind,3750.0
12954,2021-01-19,E19,solar,411.0
12955,2021-01-19,E18,hydro,221501.0
13449,2021-01-20,E18,thermal,4300.0
13450,2021-01-20,E18,wind,3750.0
13451,2021-01-20,E18,hydro,221501.0
13452,2021-01-20,E19,solar,411.0
14462,2021-01-21,E18,wind,3750.0
14463,2021-01-21,E19,solar,411.0
14464,2021-01-21,E18,hydro,221501.0
14465,2021-01-21,E18,thermal,4300.0
14960,2021-01-22,E18,thermal,4300.0
14961,2021-01-22,E18,wind,3750.0
14962,2021-01-22,E18,hydro,221501.0
14963,2021-01-22,E19,solar,411.0
15494,2021-01-23,E18,wind,3750.0
15495,2021-01-23,E19,solar,411.0
15496,2021-01-23,E18,hydro,221501.0
15497,2021-01-23,E18,thermal,4300.0
16172,2021-01-24,E18,wind,3750.0
16173,2021-01-24,E19,solar,411.0
16174,2021-01-24,E18,hydro,221501.0
16175,2021-01-24,E18,thermal,4300.0
17044,2021-01-25,E18,wind,3750.0
17045,2021-01-25,E19,solar,411.0
17046,2021-01-25,E18,hydro,221501.0
17047,2021-01-25,E18,thermal,4300.0
17894,2021-01-26,E19,solar,411.0
17895,2021-01-26,E18,thermal,4300.0
17896,2021-01-26,E18,hydro,221501.0
17897,2021-01-26,E18,wind,3750.0
18903,2021-01-27,E18,hydro,221501.0
18904,2021-01-27,E19,solar,411.0
18905,2021-01-27,E18,thermal,4300.0
18906,2021-01-27,E18,wind,3750.0
19024,2021-01-28,E18,wind,3750.0
19025,2021-01-28,E18,thermal,4300.0
19026,2021-01-28,E18,hydro,221501.0
19027,2021-01-28,E19,solar,411.0
19917,2021-01-29,E19,solar,411.0
19918,2021-01-29,E18,wind,3750.0
19919,2021-01-29,E18,hydro,221501.0
19920,2021-01-29,E18,thermal,4300.0
20418,2021-01-30,E18,hydro,221501.0
20419,2021-01-30,E18,wind,3750.0
20420,2021-01-30,E18,thermal,4300.0
20421,2021-01-30,E19,solar,411.0
21478,2021-01-31,E18,thermal,4300.0
21479,2021-01-31,E19,solar,411.0
21480,2021-01-31,E18,wind,3750.0
21481,2021-01-31,E18,hydro,221501.0
22294,2021-02-01,E18,thermal,4300.0
22295,2021-02-01,E18,hydro,221501.0
22296,2021-02-01,E18,wind,3750.0
22297,2021-02-01,E19,solar,411.0
22473,2021-02-02,E18,wind,3750.0
22474,2021-02-02,E18,hydro,221501.0
22475,2021-02-02,E19,solar,411.0
22476,2021-02-02,E18,thermal,4300.0
23664,2021-02-03,E18,wind,3750.0
23665,2021-02-03,E18,thermal,4300.0
23666,2021-02-03,E19,solar,411.0
23667,2021-02-03,E18,hydro,221501.0
23933,2021-02-04,E19,solar,411.0
23934,2021-02-04,E18,thermal,4300.0
23935,2021-02-04,E18,wind,3750.0
23936,2021-02-04,E18,hydro,221501.0
24730,2021-02-05,E18,wind,3750.0
24731,2021-02-05,E18,hydro,221501.0
24732,2021-02-05,E19,solar,411.0
24733,2021-02-05,E18,thermal,4300.0
25295,2021-02-06,E18,wind,3750.0
25296,2021-02-06,E18,hydro,221501.0
25297,2021-02-06,E19,solar,411.0
25298,2021-02-06,E18,thermal,4300.0
26062,2021-02-07,E18,hydro,221501.0
26063,2021-02-07,E19,solar,411.0
26064,2021-02-07,E18,thermal,4300.0
26065,2021-02-07,E18,wind,3750.0
27049,2021-02-08,E18,wind,3750.0
27050,2021-02-08,E19,solar,411.0
27051,2021-02-08,E18,thermal,4300.0
27052,2021-02-08,E18,hydro,221501.0
27489,2021-02-09,E19,solar,411.0
27490,2021-02-09,E18,wind,3750.0
27491,2021-02-09,E18,hydro,221501.0
27492,2021-02-09,E18,thermal,4300.0
28314,2021-02-10,E19,solar,411.0
28315,2021-02-10,E18,hydro,221501.0
28316,2021-02-10,E18,wind,3750.0
28317,2021-02-10,E18,thermal,4300.0
28847,2021-02-11,E18,wind,3750.0
28848,2021-02-11,E19,solar,411.0
28849,2021-02-11,E18,thermal,4300.0
28850,2021-02-11,E18,hydro,221501.0
29762,2021-02-12,E19,solar,411.0
29763,2021-02-12,E18,hydro,221501.0
29764,2021-02-12,E18,thermal,4300.0
29765,2021-02-12,E18,wind,3750.0
30744,2021-02-13,E18,thermal,4300.0
30745,2021-02-13,E18,wind,3750.0
30746,2021-02-13,E19,solar,411.0
30747,2021-02-13,E18,hydro,221501.0
31209,2021-02-14,E18,hydro,221501.0
31210,2021-02-14,E18,thermal,4300.0
31211,2021-02-14,E18,wind,3750.0
31212,2021-02-14,E19,solar,411.0
31675,2021-02-15,E18,hydro,221501.0
31676,2021-02-15,E18,wind,3750.0
31677,2021-02-15,E19,solar,411.0
31678,2021-02-15,E18,thermal,4300.0
32539,2021-02-16,E18,hydro,221501.0
32540,2021-02-16,E19,solar,411.0
32541,2021-02-16,E18,thermal,4300.0
32542,2021-02-16,E18,wind,3750.0
33606,2021-02-17,E18,hydro,221501.0
33607,2021-02-17,E19,solar,411.0
33608,2021-02-17,E18,thermal,4300.0
33609,2021-02-17,E18,wind,3750.0
33802,2021-02-18,E19,solar,411.0
33803,2021-02-18,E18,wind,3750.0
33804,2021-02-18,E18,thermal,4300.0
33805,2021-02-18,E18,hydro,221501.0
34505,2021-02-19,E18,hydro,221501.0
34506,2021-02-19,E19,solar,411.0
34507,2021-02-19,E18,thermal,4300.0
34508,2021-02-19,E18,wind,3750.0
35194,2021-02-20,E18,thermal,4300.0
35195,2021-02-20,E19,solar,411.0
35196,2021-02-20,E18,wind,3750.0
35197,2021-02-20,E18,hydro,221501.0
35937,2021-02-21,E18,thermal,4300.0
35938,2021-02-21,E18,hydro,221501.0
35939,2021-02-21,E18,wind,3750.0
35940,2021-02-21,E19,solar,411.0
36629,2021-02-22,E18,hydro,221501.0
36630,2021-02-22,E18,wind,3750.0
36631,2021-02-22,E18,thermal,4300.0
36632,2021-02-22,E19,solar,411.0
37573,2021-02-23,E18,hydro,221501.0
37574,2021-02-23,E18,wind,3750.0
37575,2021-02-23,E19,solar,411.0
37576,2021-02-23,E18,thermal,4300.0
38060,2021-02-24,E19,solar,411.0
38061,2021-02-24,E18,wind,3750.0
38062,2021-02-24,E18,thermal,4300.0
38063,2021-02-24,E18,hydro,221501.0
38918,2021-02-25,E18,wind,3750.0
38919,2021-02-25,E18,hydro,221501.0
38920,2021-02-25,E18,thermal,4300.0
38921,2021-02-25,E19,solar,411.0
39391,2021-02-26,E18,wind,3750.0
39392,2021-02-26,E18,hydro,221501.0
39393,2021-02-26,E19,solar,411.0
39394,2021-02-26,E18,thermal,4300.0
40489,2021-02-27,E19,solar,411.0
40490,2021-02-27,E18,wind,3750.0
40491,2021-02-27,E18,hydro,221501.0
40492,2021-02-27,E18,thermal,4300.0
40934,2021-02-28,E18,hydro,221501.0
40935,2021-02-28,E19,solar,411.0
40936,2021-02-28,E18,wind,3750.0
40937,2021-02-28,E18,thermal,4300.0
41828,2021-03-01,E18,hydro,221501.0
41829,2021-03-01,E18,wind,3750.0
41830,2021-03-01,E19,solar,411.0
41831,2021-03-01,E18,thermal,4300.0
42341,2021-03-02,E19,solar,411.0
42342,2021-03-02,E18,hydro,221501.0
42343,2021-03-02,E18,wind,3750.0
42344,2021-03-02,E18,thermal,4300.0
42929,2021-03-03,E18,thermal,4300.0
42930,2021-03-03,E19,solar,411.0
42931,2021-03-03,E18,hydro,221501.0
42932,2021-03-03,E18,wind,3750.0
43934,2021-03-04,E18,thermal,4300.0
43935,2021-03-04,E18,wind,3750.0
43936,2021-03-04,E19,solar,411.0
43937,2021-03-04,E18,hydro,221501.0
44539,2021-03-05,E18,hydro,221501.0
44540,2021-03-05,E18,wind,3750.0
44541,2021-03-05,E19,solar,411.0
44542,2021-03-05,E18,thermal,4300.0
45022,2021-03-06,E18,wind,3750.0
45023,2021-03-06,E18,thermal,4300.0
45024,2021-03-06,E18,hydro,221501.0
45025,2021-03-06,E19,solar,411.0
45738,2021-03-07,E18,wind,3750.0
45739,2021-03-07,E18,hydro,221501.0
45740,2021-03-07,E18,thermal,4300.0
45741,2021-03-07,E19,solar,411.0
46459,2021-03-08,E18,thermal,4300.0
46460,2021-03-08,E18,wind,3750.0
46461,2021-03-08,E19,solar,411.0
46462,2021-03-08,E18,hydro,221501.0
47372,2021-03-09,E19,solar,411.0
47373,2021-03-09,E18,wind,3750.0
47374,2021-03-09,E18,hydro,221501.0
47375,2021-03-09,E18,thermal,4300.0
48389,2021-03-10,E18,wind,3750.0
48390,2021-03-10,E19,solar,411.0
48391,2021-03-10,E18,hydro,221501.0
48392,2021-03-10,E18,thermal,4300.0
48677,2021-03-11,E18,hydro,221501.0
48678,2021-03-11,E18,wind,3750.0
48679,2021-03-11,E19,solar,411.0
48680,2021-03-11,E18,thermal,4300.0
49288,2021-03-12,E18,thermal,4300.0
49289,2021-03-12,E19,solar,411.0
49290,2021-03-12,E18,hydro,221501.0
49291,2021-03-12,E18,wind,3750.0
50099,2021-03-13,E18,wind,3750.0
50100,2021-03-13,E18,thermal,4300.0
50101,2021-03-13,E18,hydro,221501.0
50102,2021-03-13,E19,solar,411.0
50710,2021-03-14,E19,solar,411.0
50711,2021-03-14,E18,wind,3750.0
50712,2021-03-14,E18,hydro,221501.0
50713,2021-03-14,E18,thermal,4300.0
51424,2021-03-15,E19,solar,411.0
51425,2021-03-15,E18,wind,3750.0
51426,2021-03-15,E18,hydro,221501.0
51427,2021-03-15,E18,thermal,4300.0
52108,2021-03-16,E18,thermal,4300.0
52109,2021-03-16,E19,solar,411.0
52110,2021-03-16,E18,wind,3750.0
