,Date,meteringPointTypeCode,quantityKwh
12408,2021-01-28 23:00:00,E19,0.0
12409,2021-01-29 00:00:00,E19,0.0
12410,2021-01-29 01:00:00,E19,0.0
12411,2021-01-29 02:00:00,E19,0.0
12412,2021-01-29 03:00:00,E19,0.0
12413,2021-01-29 04:00:00,E19,0.0
12414,2021-01-29 05:00:00,E19,0.0
12415,2021-01-29 06:00:00,E19,0.0
12416,2021-01-29 07:00:00,E19,0.0
12417,2021-01-29 08:00:00,E19,0.0
12418,2021-01-29 09:00:00,E19,0.0
12419,2021-01-29 10:00:00,E19,0.0
12420,2021-01-29 11:00:00,E19,0.0
12421,2021-01-29 12:00:00,E19,0.0
12422,2021-01-29 13:00:00,E19,0.0
12423,2021-01-29 14:00:00,E19,0.0
12424,2021-01-29 15:00:00,E19,0.0
12425,2021-01-29 16:00:00,E19,0.0
12426,2021-01-29 17:00:00,E19,0.0
12427,2021-01-29 18:00:00,E19,0.0
12428,2021-01-29 19:00:00,E19,0.0
12429,2021-01-29 20:00:00,E19,0.0
12430,2021-01-29 21:00:00,E19,0.0
12431,2021-01-29 22:00:00,E19,0.0
16248,2021-01-29 23:00:00,E19,0.0
16249,2021-01-30 00:00:00,E19,0.0
16250,2021-01-30 01:00:00,E19,0.0
16251,2021-01-30 02:00:00,E19,0.0
16252,2021-01-30 03:00:00,E19,0.0
16253,2021-01-30 04:00:00,E19,0.0
16254,2021-01-30 05:00:00,E19,0.0
16255,2021-01-30 06:00:00,E19,0.0
16256,2021-01-30 07:00:00,E19,0.0
16257,2021-01-30 08:00:00,E19,0.0
16258,2021-01-30 09:00:00,E19,0.0
16259,2021-01-30 10:00:00,E19,0.0
16260,2021-01-30 11:00:00,E19,0.0
16261,2021-01-30 12:00:00,E19,0.0
16262,2021-01-30 13:00:00,E19,0.0
16263,2021-01-30 14:00:00,E19,0.0
16264,2021-01-30 15:00:00,E19,0.0
16265,2021-01-30 16:00:00,E19,0.0
16266,2021-01-30 17:00:00,E19,0.0
16267,2021-01-30 18:00:00,E19,0.0
16268,2021-01-30 19:00:00,E19,0.0
16269,2021-01-30 20:00:00,E19,0.0
16270,2021-01-30 21:00:00,E19,0.0
16271,2021-01-30 22:00:00,E19,0.0
20088,2021-01-30 23:00:00,E19,0.0
20089,2021-01-31 00:00:00,E19,0.0
20090,2021-01-31 01:00:00,E19,0.0
20091,2021-01-31 02:00:00,E19,0.0
20092,2021-01-31 03:00:00,E19,0.0
20093,2021-01-31 04:00:00,E19,0.01
20094,2021-01-31 05:00:00,E19,0.0
20095,2021-01-31 06:00:00,E19,0.0
20096,2021-01-31 07:00:00,E19,0.0
20097,2021-01-31 08:00:00,E19,0.0
20098,2021-01-31 09:00:00,E19,0.0
20099,2021-01-31 10:00:00,E19,0.0
20100,2021-01-31 11:00:00,E19,0.07
20101,2021-01-31 12:00:00,E19,0.12
20102,2021-01-31 13:00:00,E19,0.39
20103,2021-01-31 14:00:00,E19,0.0
20104,2021-01-31 15:00:00,E19,0.0
20105,2021-01-31 16:00:00,E19,0.0
20106,2021-01-31 17:00:00,E19,0.0
20107,2021-01-31 18:00:00,E19,0.0
20108,2021-01-31 19:00:00,E19,0.0
20109,2021-01-31 20:00:00,E19,0.0
20110,2021-01-31 21:00:00,E19,0.0
20111,2021-01-31 22:00:00,E19,0.0
23928,2021-01-31 23:00:00,E19,0.0
23929,2021-02-01 00:00:00,E19,0.0
23930,2021-02-01 01:00:00,E19,0.0
23931,2021-02-01 02:00:00,E19,0.0
23932,2021-02-01 03:00:00,E19,0.0
23933,2021-02-01 04:00:00,E19,0.0
23934,2021-02-01 05:00:00,E19,0.0
23935,2021-02-01 06:00:00,E19,0.0
23936,2021-02-01 07:00:00,E19,0.0
23937,2021-02-01 08:00:00,E19,0.0
23938,2021-02-01 09:00:00,E19,0.0
23939,2021-02-01 10:00:00,E19,0.03
23940,2021-02-01 11:00:00,E19,0.0
23941,2021-02-01 12:00:00,E19,0.0
23942,2021-02-01 13:00:00,E19,0.0
23943,2021-02-01 14:00:00,E19,0.0
23944,2021-02-01 15:00:00,E19,0.0
23945,2021-02-01 16:00:00,E19,0.0
23946,2021-02-01 17:00:00,E19,0.0
23947,2021-02-01 18:00:00,E19,0.0
23948,2021-02-01 19:00:00,E19,0.0
23949,2021-02-01 20:00:00,E19,0.0
23950,2021-02-01 21:00:00,E19,0.0
23951,2021-02-01 22:00:00,E19,0.0
27768,2021-02-01 23:00:00,E19,0.0
27769,2021-02-02 00:00:00,E19,0.0
27770,2021-02-02 01:00:00,E19,0.0
27771,2021-02-02 02:00:00,E19,0.0
27772,2021-02-02 03:00:00,E19,0.0
27773,2021-02-02 04:00:00,E19,0.0
27774,2021-02-02 05:00:00,E19,0.0
