DATE,PRICE_AREA,PRODUCTION_GROUP,METERINGPOINT_TYPE,INSTALLED_CAPACITY
2021-01-01,NO1,Hydro unspecified,Combined,404.000
2021-01-01,NO1,Hydro unspecified,Production,18900632.000
2021-01-01,NO1,Other unspecified,Combined,16.000
2021-01-01,NO1,Other unspecified,Production,850.000
2021-01-01,NO1,Solar unspecified,Combined,51398.000
2021-01-01,NO1,Solar unspecified,Production,2198.000
2021-01-01,NO1,Thermal unspecified,Production,66980.000
2021-01-01,NO1,Wind unspecified,Production,172000.000
2021-01-01,NO2,Hydro unspecified,Combined,723.000
2021-01-01,NO2,Hydro unspecified,Production,12478751.000
2021-01-01,NO2,Other unspecified,Combined,874.000
2021-01-01,NO2,Other unspecified,Production,3300.000
2021-01-01,NO2,Solar unspecified,Combined,26868.000
2021-01-01,NO2,Solar unspecified,Production,2139.000
2021-01-01,NO2,Thermal unspecified,Combined,9.000
2021-01-01,NO2,Thermal unspecified,Production,71760.000
2021-01-01,NO2,Wind unspecified,Combined,46.000
2021-01-01,NO2,Wind unspecified,Production,1119574.000
2021-01-01,NO3,Hydro unspecified,Combined,526.000
2021-01-01,NO3,Hydro unspecified,Production,4901728.000
2021-01-01,NO3,Other unspecified,Combined,171.000
2021-01-01,NO3,Solar unspecified,Combined,12863.000
2021-01-01,NO3,Solar unspecified,Production,500.000
2021-01-01,NO3,Thermal unspecified,Production,199300.000
2021-01-01,NO3,Wind unspecified,Combined,250.000
2021-01-01,NO3,Wind unspecified,Production,2425045.000
2021-01-01,NO4,Hydro unspecified,Combined,273.000
2021-01-01,NO4,Hydro unspecified,Production,5527250.000
2021-01-01,NO4,Other unspecified,Combined,659.000
2021-01-01,NO4,Other unspecified,Production,5450.000
2021-01-01,NO4,Solar unspecified,Combined,1077.000
2021-01-01,NO4,Thermal unspecified,Production,305099.000
2021-01-01,NO4,Wind unspecified,Production,637400.000
2021-01-01,NO5,Hydro unspecified,Combined,130.000
2021-01-01,NO5,Hydro unspecified,Production,8387000.000
2021-01-01,NO5,Other unspecified,Combined,0.000
2021-01-01,NO5,Solar unspecified,Combined,6624.000
2021-01-01,NO5,Thermal unspecified,Production,297000.000
2021-01-02,NO1,Hydro unspecified,Combined,404.000
2021-01-02,NO1,Hydro unspecified,Production,18900632.000
2021-01-02,NO1,Other unspecified,Combined,16.000
2021-01-02,NO1,Other unspecified,Production,850.000
2021-01-02,NO1,Solar unspecified,Combined,51398.000
2021-01-02,NO1,Solar unspecified,Production,2198.000
2021-01-02,NO1,Thermal unspecified,Production,66980.000
2021-01-02,NO1,Wind unspecified,Production,172000.000
2021-01-02,NO2,Hydro unspecified,Combined,723.000
2021-01-02,NO2,Hydro unspecified,Production,12478751.000
2021-01-02,NO2,Other unspecified,Combined,874.000
2021-01-02,NO2,Other unspecified,Production,3300.000
2021-01-02,NO2,Solar unspecified,Combined,26868.000
2021-01-02,NO2,Solar unspecified,Production,2139.000
2021-01-02,NO2,Thermal unspecified,Combined,9.000
2021-01-02,NO2,Thermal unspecified,Production,71760.000
2021-01-02,NO2,Wind unspecified,Combined,46.000
2021-01-02,NO2,Wind unspecified,Production,1119574.000
2021-01-02,NO3,Hydro unspecified,Combined,526.000
2021-01-02,NO3,Hydro unspecified,Production,4901728.000
2021-01-02,NO3,Other unspecified,Combined,171.000
2021-01-02,NO3,Solar unspecified,Combined,12863.000
2021-01-02,NO3,Solar unspecified,Production,500.000
2021-01-02,NO3,Thermal unspecified,Production,199300.000
2021-01-02,NO3,Wind unspecified,Combined,250.000
2021-01-02,NO3,Wind unspecified,Production,2425045.000
2021-01-02,NO4,Hydro unspecified,Combined,273.000
2021-01-02,NO4,Hydro unspecified,Production,5527250.000
2021-01-02,NO4,Other unspecified,Combined,659.000
2021-01-02,NO4,Other unspecified,Production,5450.000
2021-01-02,NO4,Solar unspecified,Combined,1077.000
2021-01-02,NO4,Thermal unspecified,Production,305099.000
2021-01-02,NO4,Wind unspecified,Production,637400.000
2021-01-02,NO5,Hydro unspecified,Combined,130.000
2021-01-02,NO5,Hydro unspecified,Production,8387000.000
2021-01-02,NO5,Other unspecified,Combined,0.000
2021-01-02,NO5,Solar unspecified,Combined,6624.000
2021-01-02,NO5,Thermal unspecified,Production,297000.000
2021-01-03,NO1,Hydro unspecified,Combined,404.000
2021-01-03,NO1,Hydro unspecified,Production,18900632.000
2021-01-03,NO1,Other unspecified,Combined,16.000
2021-01-03,NO1,Other unspecified,Production,850.000
2021-01-03,NO1,Solar unspecified,Combined,51398.000
2021-01-03,NO1,Solar unspecified,Production,2198.000
2021-01-03,NO1,Thermal unspecified,Production,66980.000
2021-01-03,NO1,Wind unspecified,Production,172000.000
2021-01-03,NO2,Hydro unspecified,Combined,723.000
2021-01-03,NO2,Hydro unspecified,Production,12478751.000
2021-01-03,NO2,Other unspecified,Combined,874.000
2021-01-03,NO2,Other unspecified,Production,3300.000
2021-01-03,NO2,Solar unspecified,Combined,26868.000
2021-01-03,NO2,Solar unspecified,Production,2139.000
2021-01-03,NO2,Thermal unspecified,Combined,9.000
2021-01-03,NO2,Thermal unspecified,Production,71760.000
2021-01-03,NO2,Wind unspecified,Combined,46.000
2021-01-03,NO2,Wind unspecified,Production,1119574.000
2021-01-03,NO3,Hydro unspecified,Combined,526.000
2021-01-03,NO3,Hydro unspecified,Production,4901728.000
2021-01-03,NO3,Other unspecified,Combined,171.000
2021-01-03,NO3,Solar unspecified,Combined,12863.000
2021-01-03,NO3,Solar unspecified,Production,500.000
2021-01-03,NO3,Thermal unspecified,Production,199300.000
2021-01-03,NO3,Wind unspecified,Combined,250.000
2021-01-03,NO3,Wind unspecified,Production,2425045.000
2021-01-03,NO4,Hydro unspecified,Combined,273.000
2021-01-03,NO4,Hydro unspecified,Production,5527250.000
2021-01-03,NO4,Other unspecified,Combined,659.000
2021-01-03,NO4,Other unspecified,Production,5450.000
2021-01-03,NO4,Solar unspecified,Combined,1077.000
2021-01-03,NO4,Thermal unspecified,Production,305099.000
2021-01-03,NO4,Wind unspecified,Production,637400.000
2021-01-03,NO5,Hydro unspecified,Combined,130.000
2021-01-03,NO5,Hydro unspecified,Production,8387000.000
2021-01-03,NO5,Other unspecified,Combined,0.000
2021-01-03,NO5,Solar unspecified,Combined,6624.000
2021-01-03,NO5,Thermal unspecified,Production,297000.000
2021-01-04,NO1,Hydro unspecified,Combined,404.000
2021-01-04,NO1,Hydro unspecified,Production,18900632.000
